Sample_ID	Original_ID	Simplified_ID	Treatment	Time_Point (h)	Sex	Replicate	Group	Collection_Date	Collection_Time	Replacement
IL1	T0-C0-M-R1	Ctrl_0h_Male_R1	Seawater Control	0	Male	R1	Control_0h_Male	[2025-01-24]	09:00 BST	1
IL106	T0-C0-F-B1	Ctrl_0h_Female_B1	Seawater Control	0	Female	R1	Control_0h_Female	[2025-01-24]	09:00 BST	2
IL2	T0-C0-M-R2	Ctrl_0h_Male_R2	Seawater Control	0	Male	R2	Control_0h_Male	[2025-01-24]	09:00 BST	1
IL47	T0-C0-F-R2	Ctrl_0h_Female_R2	Seawater Control	0	Female	R2	Control_0h_Female	[2025-01-24]	09:00 BST	1
IL3	T0-C0-M-R3	Ctrl_0h_Male_R3	Seawater Control	0	Male	R3	Control_0h_Male	[2025-01-24]	09:00 BST	1
IL48	T0-C0-F-R3	Ctrl_0h_Female_R3	Seawater Control	0	Female	R3	Control_0h_Female	[2025-01-24]	09:00 BST	1
IL4	T0-CD-M-R1	DMSO_0h_Male_R1	DMSO Control	0	Male	R1	DMSO_0h_Male	[2025-01-24]	09:00 BST	1
IL49	T0-CD-F-R1	DMSO_0h_Female_R1	DMSO Control	0	Female	R1	DMSO_0h_Female	[2025-01-24]	09:00 BST	1
IL5	T0-CD-M-R2	DMSO_0h_Male_R2	DMSO Control	0	Male	R2	DMSO_0h_Male	[2025-01-24]	09:00 BST	1
IL50	T0-CD-F-R2	DMSO_0h_Female_R2	DMSO Control	0	Female	R2	DMSO_0h_Female	[2025-01-24]	09:00 BST	1
IL92	T0-CD-M-B1	DMSO_0h_Male_B1	DMSO Control	0	Male	R3	DMSO_0h_Male	[2025-01-24]	09:00 BST	2
IL107	T0-CD-F-B1	DMSO_0h_Female_B1	DMSO Control	0	Female	R3	DMSO_0h_Female	[2025-01-24]	09:00 BST	2
IL93	T0-C100-M-B1	Phen100_0h_Male_B1	Phenanthrene	0	Male	R1	Phen100_0h_Male	[2025-01-24]	09:00 BST	2
IL52	T0-C100-F-R1	Phen100_0h_Female_R1	Phenanthrene	0	Female	R1	Phen100_0h_Female	[2025-01-24]	09:00 BST	1
IL8	T0-C100-M-R2	Phen100_0h_Male_R2	Phenanthrene	0	Male	R2	Phen100_0h_Male	[2025-01-24]	09:00 BST	1
IL108	T0-C100-F-B1	Phen100_0h_Female_B1	Phenanthrene	0	Female	R2	Phen100_0h_Female	[2025-01-24]	09:00 BST	2
